school,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,gifted,iep,not_iep_or_gifted,totals_iep,iep_redactions,students_from_feeder,students_from_outside_feeder,total_with_feeder_status,feeder_count_redactions,grade_level
PITTSBURGH OBAMA EARLY CHILDHOOD,,,,,,,,11,Y,,,,,,,,,,PK
PITTSBURGH ARLINGTON EARLY CHILDHOOD CENTER,,,,,,,,11,Y,,,,,,,,,,PK
PITTSBURGH GREENFIELD EARLY CHILDHOOD,,,,,,,,14,Y,,,,,,,,,,PK
PITTSBURGH CONROY EARLY CHILDHOOD,,,,,,,,15,Y,,,,,,,,,,PK
PITTSBURGH MORROW EARLY CHILDHOOD,,,,,,,,15,Y,,,,,,,,,,PK
PITTSBURGH DILWORTH EARLY CHILDHOOD,,,,,,,,16,Y,,,,,,,,,,PK
PITTSBURGH WEST LIBERTY EARLY CHILDHOOD CENTER,,,,,,,,19,Y,,,,,,,,,,PK
PITTSBURGH BROOKLINE EARLY CHILDHOOD,,,,,,,13,19,Y,,,,,,,,,,PK
PITTSBURGH SPRING GARDEN EARLY CHILDHOOD,13,,,,,,,22,Y,,,,,,,,,,PK
PITTSBURGH CRESCENT EARLY CHILDHOOD,25,,,,,,,27,Y,,,,,,,,,,PK
PITTSBURGH CARMALT EARLY CHILDHOOD CENTER,,,,,,,17,30,Y,,,,,,,,,,PK
PITTSBURGH CHARTIERS EARLY CHILDHOOD CENTER,26,,,,,,,33,Y,,,,,,,,,,PK
PITTSBURGH CONCORD EARLY CHILDHOOD,,,12,,,,,34,Y,,,,,,,,,,PK
PITTSBURGH BEECHWOOD EARLY CHILDHOOD,,,,15,,,20,45,Y,,,,,,,,,,PK
PITTSBURGH ROOSEVELT EARLY CHILDHOOD,13,,,,,,24,45,Y,,,,,,,,,,PK
PITTSBURGH MONTESSORI EARLY CHILDHOOD,,,,,,,57,85,Y,,,,,,,,,,PK
